permno,date,ticker,mean_recommendation,recommendation_change,num_recommendations
87445,2024-01-31,TDY,2.0,0.0,1
87445,2024-04-30,TDY,3.0,1.0,1
87445,2024-06-30,TDY,2.0,-1.0,1
87445,2024-07-31,TDY,2.0,0.0,1
87445,2024-08-31,TDY,3.0,1.0,1
87445,2024-11-30,TDY,1.5,-1.5,2
87447,2019-12-31,UPS,2.5,,2
87447,2020-03-31,UPS,2.5,0.0,4
87447,2020-04-30,UPS,4.0,1.5,2
87447,2020-09-30,UPS,2.6666666666666665,-1.3333333333333335,3
87447,2020-10-31,UPS,3.0,0.3333333333333335,1
87447,2021-02-28,UPS,1.0,-2.0,1
87447,2021-03-31,UPS,2.0,1.0,1
87447,2021-04-30,UPS,3.0,1.0,6
87447,2021-05-31,UPS,1.0,-2.0,1
87447,2021-06-30,UPS,2.5,1.5,2
87447,2021-07-31,UPS,3.0,0.5,1
87447,2021-09-30,UPS,2.0,-1.0,1
87447,2021-10-31,UPS,1.6666666666666667,-0.33333333333333326,3
87447,2021-11-30,UPS,3.0,1.3333333333333333,1
87447,2021-12-31,UPS,4.0,1.0,1
87447,2022-01-31,UPS,3.0,-1.0,1
87447,2022-02-28,UPS,2.0,-1.0,1
87447,2022-04-30,UPS,2.75,0.75,4
87447,2022-05-31,UPS,3.0,0.25,1
87447,2022-07-31,UPS,5.0,2.0,1
87447,2022-09-30,UPS,3.0,-2.0,1
87447,2022-10-31,UPS,2.0,-1.0,2
87447,2022-11-30,UPS,2.0,0.0,1
87447,2022-12-31,UPS,4.0,2.0,1
87447,2023-01-31,UPS,4.0,0.0,1
87447,2023-03-31,UPS,2.0,-2.0,1
87447,2023-04-30,UPS,3.0,1.0,1
87447,2023-06-30,UPS,3.0,0.0,1
87447,2023-07-31,UPS,3.0,0.0,1
87447,2023-08-31,UPS,3.0,0.0,2
87447,2023-09-30,UPS,3.0,0.0,1
87447,2023-12-31,UPS,3.0,0.0,1
87447,2024-01-31,UPS,3.0,0.0,2
87447,2024-03-31,UPS,3.0,0.0,1
87447,2024-04-30,UPS,2.3333333333333335,-0.6666666666666665,3
87447,2024-06-30,UPS,2.0,-0.3333333333333335,1
87447,2024-10-31,UPS,4.0,2.0,1
87447,2024-11-30,UPS,1.0,-3.0,1
87447,2024-12-31,UPS,2.0,1.0,1
87541,2019-12-31,PKG,3.3333333333333335,,3
87541,2020-01-31,PKG,3.0,-0.3333333333333335,1
87541,2020-03-31,PKG,2.0,-1.0,2
87541,2020-04-30,PKG,3.0,1.0,1
87541,2020-05-31,PKG,1.0,-2.0,1
87541,2020-06-30,PKG,3.0,2.0,1
87541,2020-07-31,PKG,1.0,-2.0,1
87541,2020-10-31,PKG,2.0,1.0,1
87541,2020-12-31,PKG,3.0,1.0,1
87541,2021-01-31,PKG,3.0,0.0,2
87541,2021-10-31,PKG,3.0,0.0,2
87541,2022-01-31,PKG,2.0,-1.0,2
87541,2022-09-30,PKG,5.0,3.0,1
87541,2022-10-31,PKG,4.0,-1.0,1
87541,2022-11-30,PKG,4.0,0.0,1
87541,2022-12-31,PKG,3.0,-1.0,1
87541,2023-04-30,PKG,4.0,1.0,1
87541,2023-09-30,PKG,3.0,-1.0,1
87541,2024-01-31,PKG,2.5,-0.5,2
87541,2024-03-31,PKG,1.0,-1.5,1
87541,2024-04-30,PKG,3.3333333333333335,2.3333333333333335,3
87541,2024-06-30,PKG,3.0,-0.3333333333333335,1
87541,2024-07-31,PKG,4.0,1.0,1
87541,2024-10-31,PKG,2.0,-2.0,1
87541,2024-12-31,PKG,1.0,-1.0,1
87657,2019-12-31,EW,2.0,,2
87657,2020-01-31,EW,2.0,0.0,2
87657,2020-02-29,EW,3.0,1.0,1
87657,2020-04-30,EW,2.0,-1.0,2
87657,2020-05-31,EW,2.0,0.0,1
87657,2020-09-30,EW,5.0,3.0,1
87657,2021-04-30,EW,2.5,-2.5,2
87657,2021-05-31,EW,2.0,-0.5,1
87657,2021-10-31,EW,3.0,1.0,1
87657,2021-12-31,EW,2.0,-1.0,3
87657,2022-03-31,EW,3.0,1.0,1
87657,2022-04-30,EW,1.3333333333333333,-1.6666666666666667,3
87657,2022-07-31,EW,2.5,1.1666666666666667,2
87657,2022-10-31,EW,2.0,-0.5,4
87657,2022-12-31,EW,3.0,1.0,2
87657,2023-01-31,EW,3.25,0.25,4
87657,2023-02-28,EW,2.5,-0.75,4
87657,2023-03-31,EW,3.0,0.5,1
87657,2023-09-30,EW,2.0,-1.0,2
87657,2023-10-31,EW,3.0,1.0,1
87657,2023-11-30,EW,4.0,1.0,2
87657,2023-12-31,EW,2.0,-2.0,1
87657,2024-01-31,EW,3.0,1.0,1
87657,2024-02-29,EW,2.0,-1.0,1
87657,2024-03-31,EW,1.0,-1.0,1
87657,2024-04-30,EW,3.0,2.0,1
87657,2024-05-31,EW,2.0,-1.0,2
87657,2024-06-30,EW,2.0,0.0,1
87657,2024-07-31,EW,2.7142857142857144,0.7142857142857144,7
87657,2024-09-30,EW,3.0,0.2857142857142856,1
87657,2024-10-31,EW,3.0,0.0,3
87657,2024-12-31,EW,2.0,-1.0,2
